代码	名称			板块	上市日		一手资金	一手中签率	发行价	超购倍数	募资总额	暗盘涨幅	首日涨幅	开盘	最高	最低	收盘
02060	浦江国际		主板	2019/05/28	3550		100.00%		2.680	0.46		6.3			1.12%		1.12%		2.680	2.730	2.650	2.710
03868	信义能源		主板	2019/05/28	4700		100.00%		1.940	1.07		36			2.06%		0.00%		1.950	1.970	1.940	1.940
01817	慕尚集团		主板	2019/05/27	2940		100.00%		4.390	0.48		8			-3.19%		2.51%		4.450	4.510	4.100	4.500
02230	羚邦集团		主板	2019/05/21	2650		60.00%		0.450	15.77		2.24		-8.89%		-31.11%		0.395	0.405	0.300	0.310
01832	海天地悅旅		主板	2019/05/16	4480		100.00%		3.540	1.17		3.19		-5.08%		-2.26%		3.300	3.650	3.200	3.460
02346	星宇控股		主板	2019/05/16	2440		50.00%		1.000	11.38		1.25		6.00%		11.00%		1.140	1.200	1.050	1.110
01903	JBB BUILDERS	主板	2019/05/10	2760		100.00%		1.180	1.20		1.47		-24.58%		4.24%		1.050	1.260	0.950	1.230
01873	维亚生物		主板	2019/05/09	2205		100.00%		4.410	106.92		15.2		3.17%		0.23%		4.510	4.670	4.410	4.420
01857	光大水务		主板	2019/05/08	4350		100.00%		2.990	2.43		3.1			0.67%		-11.37%		2.990	3.000	2.560	2.650
01753	兌吧			主板	2019/05/07	3240		100.00%		6.000	7.69		6.66		2.50%		0.17%		5.700	6.390	5.700	6.010
08635	连成科技		创业	2019/05/02	2680		15.00%		0.530	101.30		0.53		77.36%		37.74%		0.920	1.030	0.710	0.730
01780	B&D STRATEGIC	主板	2019/04/30	2650		30.00%		0.840	11.25		1.3			-7.14%		5.95%		0.780	0.900	0.760	0.890
01906	博尼国际		主板	2019/04/26	3000		50.00%		0.580	95.94		1.7			1.72%		0.00%		0.580	0.600	0.530	0.580
06806	申万宏源		主板	2019/04/26	3144		100.00%		3.630	3.78		90			10.19%		-11.85%		3.630	3.640	3.100	3.200
01545	设计都会		主板	2019/04/25	3900		50.00%		0.300	55.90		1.5			13.33%		-10.00%		0.315	0.330	0.265	0.270
02660	禅游科技		主板	2019/04/16	2640		50.00%		1.230	47.48		2.1			31.71%		30.89%		1.490	1.680	1.400	1.610
03321	伟鸿集团		主板	2019/04/23	4500		16.01%		1.400	7.93		1.75		36.43%		-0.71%		1.400	1.460	1.050	1.390
02718	东正金融		主板	2019/04/03	3060		100.00%		3.060	0.11		16.3		-1.30%		-9.48%		2.650	2.870	2.490	2.770
06185	康诺希生物-B	主板	2019/03/28	4400		100.00%		22.000	90.83		12.6		33.64%		57.73%		30.500	35.800	30.250	34.700
06819	中智全球		主板	2019/03/27	3595		100.00%		5.350	0.59		4.3			-4.67%		-2.62%		5.350	5.360	5.190	5.210
01797	新东方在线		主板	2019/03/28	5550		100.00%		10.200	9.18		16			2.35%		0.00%		10.200	10.560	9.530	10.200
08537	DOMINATE GP		创业	2019/03/27	3400		14.00%		0.300	103.74		0.56		61.67%		35.00%		0.480	0.510	0.355	0.405
01865	管道工程		主板	2019/03/27	2600		50.00%		0.550	25.97		1.265		5.45%		20.00%		0.580	0.670	0.520	0.660
02682	润利海事		主板	2019/03/18	2400		100.00%		0.500	0.78		1.25		-26.00%		-44.00%		0.385	0.385	0.280	0.280
03316	滨江服务		主板	2019/03/15	3500		100.00%		6.960	7.14		4.65		-1.01%		5.17%		6.960	7.660	6.960	7.320
03662	奥园健康		主板	2019/03/18	4300		100.00%		3.660	6.24		6.4			13.38%		21.58%		4.180	4.540	4.070	4.450
01563	友联租赁		主板	2019/03/15	5010		100.00%		0.850	1.13		4.17		5.88%		-2.35%		0.760	0.880	0.760	0.830
01907	中国旭阳		主板	2019/03/15	3180		100.00%		2.800	1.19		16.8		0.36%		0.00%		2.800	2.820	2.700	2.800
01917	豆盟科技		主板	2019/03/14	5000		20.00%		0.410	441.70		0.8			34.15%		53.66%		0.590	0.790	0.580	0.630
01891	兴合控股		主板	2019/03/15	2480		50.00%		0.500	206.56		1.25		-7.00%		-26.00%		0.440	0.440	0.365	0.370
08096	赏之味			创业	2019/03/15	3500		50.00%		0.700	146.20		0.875		-5.71%		-32.14%		0.610	0.650	0.475	0.475
01158	开元酒店		主板	2019/03/11	4010		100.00%		16.500	1.45		11			-0.12%		2.30%		15.000	16.980	15.000	16.880
01902	银城国际控股	主板	2019/03/06	4960		100.00%		2.380	0.41		7.4			-0.84%		0.00%		2.360	2.420	2.340	2.380
02108	K2 F&B			主板	2019/03/06	3000		45.00%		0.750	16.40		1.5			6.67%		-10.67%		0.800	0.900	0.660	0.670
01025	嘉艺控股		主板	2019/02/28	5040		48.56%		0.980	19.30		1.27		-1.02%		8.16%		0.990	1.120	0.940	1.060
02019	德信中国		主板	2019/02/26	3250		100.00%		2.800	0.32		14			-1.79%		0.00%		2.800	2.820	2.800	2.800
02616	基石药业-B		主板	2019/02/26	6400		100.00%		12.000	7.20		22			8.33%		7.17%		13.320	14.500	12.620	12.860
01872	冠轈控股		主板	2019/02/28	2350		50.01%		0.430	72.47		0.96		18.60%		46.51%		0.490	0.670	0.490	0.630
08607	纳尼亚集团		创业	2019/02/26	4000		15.00%		0.400	10.30		0.8			18.75%		10.00%		0.480	0.520	0.425	0.440
01703	首沣控股		主板	2019/02/15	3750		50.15%		0.500	17.68		1.5			4.00%		22.00%		0.560	0.690	0.540	0.610
01793	伟工控股		主板	2019/02/27	3000		15.01%		0.625	16.23		1.25		-7.20%		4.00%		0.620	0.670	0.600	0.650
08036	电子交易集团	创业	2019/02/19	4400		30.00%		0.280	120.99		0.64		32.00%		0.00%		0.350	0.360	0.265	0.280
01896	猫眼娱乐		主板	2019/02/04	4080		100.00%		14.800	2.32		19.5		1.62%		-1.08%		14.820	14.940	14.000	14.640
01890	中国科培		主板	2019/01/25	5400		100.00%		2.480	1.64		8.7			0.40%		1.21%		2.480	2.560	2.480	2.510
