代码	名称			板块	上市日		一手资金	一手中签率	发行价	超购倍数	募资总额	暗盘涨幅	首日涨幅	开盘	最高	最低	收盘
06100	有才天下		主板	2018/06/29	7100		100.00%		33.000	2.18		28			-8.49%		-1.52%		31.600	33.800	29.950	32.500
01620	加达控股		主板	2018/06/28	4250		40.07%		0.360	192.90		1.1			16.70%		-1.39%		0.430	0.450	0.350	0.355
01587	欣融国际		主板	2018/06/27	3000		50.00%		0.750	90.39		1.275		-6.70%		-22.67%		0.670	0.710	0.580	0.580
01916	江西银行		主板	2018/06/26	3330		100.00%		6.390	0.29		72.6		-6.10%		0.31%		6.390	6.480	6.390	6.410
01749	杉杉品牌		主板	2018/06/27	4910		27.00%		3.780	149.24		1.26		14.00%		-7.67%		4.510	4.830	3.380	3.490
08146	怡园酒业		创业	2018/06/27	4000		70.00%		0.350	128.80		0.7			15.70%		48.57%		0.430	0.600	0.385	0.520
02003	维信金科		主板	2018/06/21	4600		100.00%		20.000	9.36		13.7		1.00%		2.25%		20.000	21.000	18.800	20.450
01806	汇付天下		主板	2018/06/15	3400		70.01%		7.500	9.69		16.88		-8.13%		-11.73%		6.980	6.980	6.220	6.620
08357	REPUBLIC HC		创业	2018/06/15	3000		3.32%		0.600	150.69		0.78		6.66%		31.67%		0.650	0.930	0.650	0.790
08403	天平道合		创业	2018/06/12	3200		50.01%		0.145	116.55		0.7			2.07%		-4.83%		0.147	0.151	0.134	0.138
01757	俊裕地基		主板	2018/06/07	3400		30.00%		0.340	453.84		1.02		7.35%		5.88%		0.355	0.390	0.345	0.360
01451	万成集团		主板	2018/06/01	2720		40.01%		1.370	614.03		0.67		38.06%		2.99%		1.830	1.840	1.360	1.380
06119	天源集团		主板	2018/06/01	3000		70.01%		0.850	16.88		1.27		-9.41%		-11.76%		0.780	0.860	0.700	0.750
08545	佰悦集团		创业	2018/05/31	2800		9.00%		0.350	42.85		0.875		5.71%		14.29%		0.390	0.425	0.360	0.400
08490	骏码科技		创业	2018/05/30	2900		40.00%		0.580	117.51		0.98		15.52%		3.45%		0.630	0.740	0.600	0.600
01978	叙福楼			主板	2018/05/30	2600		55.00%		1.100	979.10		2.2			100.00%		40.00%		1.980	2.120	1.410	1.540
01598	21世纪教育		主板	2018/05/29	3390		60.00%		1.130	108.60		4.07		20.35%		51.34%		1.560	1.910	1.520	1.710
08536	TL NATURAL		创业	2018/05/18	4800		40.01%		0.480	276.03		0.6			16.70%		2.08%		0.530	0.590	0.490	0.490
08105	皇岦			创业	2018/05/16	2500		100.00%		0.400	35.38		0.8			14.00%		21.25%		0.470	0.510	0.430	0.485
08521	智纺国际		创业	2018/05/16	3000		100.00%		0.580	21.26		0.7			8.60%		12.07%		0.550	0.680	0.540	0.650
02119	捷荣国际		主板	2018/05/11	4380		15.00%		1.980	162.94		4.74		8.59%		19.70%		2.160	2.720	2.060	2.370
08391	精雅印刷		创业	2018/05/11	2400		100.00%		0.600	7.94		0.66		16.67%		5.00%		0.750	0.790	0.620	0.630
01742	HPC				主板	2018/05/11	2400		100.00%		0.450	53.20		1.75		-5.56%		-10.00%		0.400	0.435	0.395	0.405
01750	全达电器		主板	2018/05/11	3800		100.00%		0.300	23.40		1.35		1.67%		3.33%		0.305	0.340	0.280	0.310
01752	澳洲成峰		主板	2018/05/11	3700		100.00%		0.330	16.94		2.08		3.03%		19.70%		0.335	0.480	0.335	0.395
01833	平安好医生		主板	2018/05/04	5480		60.00%		54.800	654.00		88			13.00%		0.00%		57.300	58.700	54.800	54.800
08107	威诚国际		创业	2018/05/04	2400		80.00%		0.225	32.20		0.55		2.00%		77.78%		0.260	0.510	0.250	0.400
08527	聚利宝			创业	2018/05/09	3000		70.00%		0.500	10.80		0.625		44.00%		100.00%		0.900	1.220	0.710	1.000
01671	天保能源		主板	2018/04/27	3800		20.01%		1.900	1593.15		0.73		9.47%		-5.79%		2.100	2.240	1.760	1.790
08151	宝申控股		创业	2018/04/23	2600		60.01%		0.480	321.64		0.5			-4.17%		6.25%		0.450	0.530	0.435	0.510
08511	ZC TECH			创业	2018/04/20	3400		50.00%		0.650	70.07		0.65		-3.08%		-23.85%		0.610	0.650	0.490	0.495
08447	MS CONCEPT		创业	2018/04/16	2700		60.36%		0.270	26.88		0.675		3.70%		1.85%		0.250	0.285	0.249	0.275
08507	爱世纪			创业	2018/04/16	2400		100.00%		0.580	19.90		0.7			0.00%		-15.52%		0.500	0.590	0.485	0.490
01726	HKE				主板	2018/04/18	2750		20.00%		0.550	789.00		1.1			27.00%		1.82%		0.700	0.710	0.530	0.560
08451	日光控股		创业	2018/04/16	3000		61.80%		0.275	84.66		0.55		20.00%		3.64%		0.255	0.310	0.255	0.285
08241	英记茶庄		创业	2018/04/16	2700		10.01%		0.540	677.00		0.48		90.70%		33.33%		1.200	1.220	0.670	0.720
01735	泓盈控股		主板	2018/03/29	3000		50.01%		1.500	743.86		0.99		36.00%		0.67%		1.900	1.950	1.410	1.510
08372	君百延			创业	2018/03/29	3500		35.06%		0.335	253.00		0.57		32.80%		19.40%		0.415	0.430	0.300	0.400
02116	江苏创新		主板	2018/03/28	2500		40.00%		1.250	226.42		1.5			2.40%		-2.40%		1.260	1.290	1.130	1.220
01716	毛记葵涌		主板	2018/03/28	2400		0.80%		1.200	6289.00		0.81		575.00%		431.67%		8.400	11.760	5.610	6.380
08401	源想集团		创业	2018/03/28	2600		30.01%		1.050	204.74		0.525		13.33%		-15.24%		1.130	1.250	0.860	0.890
02779	新华教育		主板	2018/03/26	3690		70.00%		3.260	31.77		13.04		-6.44%		0.00%		3.090	3.470	3.030	3.260
08448	环球印馆		创业	2018/03/28	4800		30.00%		0.230	307.60		0.52		60.87%		-0.43%		0.395	0.420	0.227	0.229
08168	宝积资本		创业	2018/03/22	3200		100.00%		0.240	95.88		0.6			33.33%		12.50%		0.340	0.420	0.260	0.270
02377	博奇环保		主板	2018/03/16	3600		80.00%		2.400	4.60		9.08		3.33%		-0.83%		2.500	2.540	2.210	2.380
02363	通达宏泰		主板	2018/03/16	5750		20.00%		2.300	275.30		0.87		7.00%		4.35%		2.450	3.040	2.380	2.400
06036	光丽科技		主板	2018/03/16	2900		30.18%		0.500	259.00		1.25		50.00%		80.00%		0.770	1.190	0.760	0.900
01737	亚洲实业		主板	2018/03/14	5000		38.01%		0.480	79.96		1.2			10.00%		10.42%		0.520	0.600	0.490	0.530
01815	金猫银猫		主板	2018/03/13	3280		70.01%		2.380	5.60		4.62		3.80%		0.42%		2.440	2.500	2.380	2.390
01705	宾仕国际		主板	2018/03/14	4000		3.01%		1.000	2600.00		1			127.00%		298.00%		2.750	4.050	2.650	3.980
01621	域高国际		主板	2018/03/05	4000		35.00%		0.350	46.18		0.85		24.29%		10.00%		0.435	0.465	0.375	0.385
08483	名仕快相		创业	2018/02/28	2800		100.00%		0.310	34.00		0.62		12.90%		16.13%		0.335	0.395	0.315	0.360
02182	天长集团		主板	2018/03/08	3000		30.05%		0.710	577.70		1.09		29.60%		2.82%		0.900	0.950	0.720	0.730
01933	元力控股		主板	2018/03/02	3840		3.01%		0.950	258.64		0.91		40.00%		61.05%		1.300	1.780	1.250	1.530
08526	荣丰集团		创业	2018/02/27	4200		80.01%		0.380	23.70		0.55		17.11%		2.63%		0.425	0.440	0.390	0.390
08367	倩碧控股		创业	2018/02/26	3300		40.08%		0.275	13.79		0.55		49.00%		0.00%		0.450	0.480	0.265	0.275
01183	澳能建设		主板	2018/02/13	2500		60.02%		1.250	160.80		3.75		-12.80%		9.60%		1.160	1.440	1.080	1.370
08532	宝发控股		创业	2018/02/23	2800		70.01%		0.280	24.33		0.56		37.50%		46.43%		0.400	0.450	0.355	0.410
08040	DCB控股			创业	2018/02/14	4375		50.01%		0.750	31.93		0.6			6.67%		2.67%		0.770	0.850	0.710	0.770
08510	Top Standard	创业	2018/02/13	3200		100.00%		0.350	16.11		0.7			-2.86%		-5.71%		0.300	0.330	0.265	0.330
08523	常满控股		创业	2018/02/12	2500		60.00%		0.500	3.27		0.5			-20.00%		-20.00%		0.800	0.800	0.380	0.400
08535	萤德控股		创业	2018/02/12	4600		20.04%		0.170	33.80		0.51		-10.59%		-20.00%		0.150	0.152	0.130	0.136
08379	汇安智能		创业	2018/02/14	3500		40.00%		0.350	93.69		0.7			28.57%		2.86%		0.455	0.520	0.355	0.360
01729	汇聚科技		主板	2018/02/13	4000		60.01%		0.500	268.40		2.3			-13.00%		-15.00%		0.430	0.475	0.425	0.425
08522	德益控股		创业	2018/02/13	3200		60.05%		0.800	35.42		0.74		-16.25%		1.25%		0.650	0.920	0.630	0.810
08473	弥明百货		创业	2018/02/12	2700		50.01%		0.270	136.51		0.76		1.85%		3.70%		0.265	0.300	0.238	0.280
03319	雅生活			主板	2018/02/09	3550		100.00%		12.300	19.00		41			-11.55%		-23.09%		9.000	10.000	8.980	9.460
08519	佳民集团		创业	2018/02/08	3000		80.01%		0.300	84.67		0.645		0.00%		-15.00%		0.300	0.355	0.226	0.255
06829	龙昇集团		主板	2018/02/08	4000		10.06%		0.400	1680.00		1.2			21.25%		3.75%		0.480	0.495	0.410	0.415
08450	钜京控股		创业	2018/02/02	2400		40.00%		0.220	333.90		0.55		84.00%		15.91%		0.540	0.580	0.230	0.255
01711	欧化国际		主板	2018/01/29	6200		10.00%		0.560	1639.00		1.12		91.00%		185.71%		1.540	2.000	1.220	1.600
08456	民信国际		创业	2018/01/26	3120		16.52%		0.700	18.60		0.7			14.29%		17.14%		0.910	1.180	0.800	0.820
08395	齐家控股		创业	2018/01/25	3400		70.01%		0.156	27.64		0.61		8.97%		19.23%		0.157	0.243	0.157	0.186
08136	英马斯			创业	2018/01/25	4000		28.01%		0.250	13.96		0.625		108.00%		100.00%		0.355	0.830	0.355	0.500
02683	华新手袋		主板	2018/01/22	2760		80.01%		1.180	239.00		1.18		13.56%		2.54%		1.350	1.450	1.180	1.210
08043	ATLINKS			创业	2018/01/19	4500		30.01%		0.500	10.40		0.5			82.00%		140.00%		1.000	1.990	0.770	1.200
02139	甘肃银行		主板	2018/01/18	2770		100.00%		2.690	0.61		59.5		2.60%		7.06%		2.830	2.940	2.720	2.880
01665	槟杰科达		主板	2018/01/19	4400		15.02%		1.000	8.63		4.34		4.00%		-2.00%		1.170	1.400	0.970	0.980
03699	光大永年		主板	2018/01/16	2980		80.21%		1.410	30.00		1.55		2.13%		0.00%		1.410	1.480	1.370	1.410
03309	希玛眼科		主板	2018/01/15	5800		8.00%		2.900	1568.30		5.7			71.00%		76.21%		5.350	5.840	5.050	5.110
08371	尝高美			创业	2018/01/17	4360		100.00%		0.920	12.33		0.92		-7.60%		-8.70%		0.790	0.900	0.790	0.840
08513	迎宏控股		创业	2018/01/19	2800		75.00%		0.650	17.47		0.65		38.46%		4.62%		1.250	1.300	0.660	0.680
06182	乙德投资		主板	2018/01/17	5440		40.01%		0.650	51.51		1.3			20.00%		3.08%		0.800	0.830	0.660	0.670
08479	金泰丰			创业	2018/01/17	2000		100.00%		0.500	13.00		0.525		8.00%		24.00%		0.500	0.840	0.500	0.620
08285	森浩集团		创业	2018/01/16	2150		100.00%		0.430	251.00		0.602		58.14%		1.16%		0.700	0.700	0.430	0.435
08487	ISP				创业	2018/01/16	4000		8.80%		0.350	10.00		0.7			14.29%		99.99%		0.400	0.790	0.370	0.780
08493	龙皇集团		创业	2018/01/16	3120		35.00%		0.210	10.84		0.76		4.29%		1.90%		0.219	0.260	0.200	0.214
08350	骏溢环球		创业	2018/01/12	3400		30.01%		0.400	9.08		0.8			5.00%		3.75%		0.440	0.460	0.405	0.415
08509	威扬酒业		创业	2018/01/12	3000		20.00%		0.750	13.50		0.9			13.33%		6.67%		0.940	0.950	0.770	0.800
08287	ZIONCOM			创业	2018/01/18	5200		40.01%		0.430	14.04		0.85		12.79%		-12.79%		0.465	0.560	0.375	0.375
02292	晋安实业		主板	2018/01/16	2480		100.00%		1.240	23.55		2.23		-1.61%		5.65%		1.240	1.390	1.230	1.310
06158	正荣地产		主板	2018/01/16	4080		100.00%		3.990	1.79		39.9		-1.75%		0.25%		3.990	4.060	3.990	4.000
08313	杰地集团		创业	2018/01/16	3300		25.00%		0.320	6.79		1.6			1.56%		1.56%		0.330	0.355	0.320	0.325
02448	恒宇集团		主板	2018/01/16	3500		100.00%		1.200	15.21		2.28		-8.33%		-17.50%		1.090	1.110	0.930	0.990
08506	中国福纺		创业	2018/01/04	3360		100.00%		0.220	114.04		0.66		-6.80%		-14.55%		0.209	0.216	0.186	0.188
02025	瑞丰动力		主板	2018/01/05	3360		60.50%		1.680	17.00		3.36		3.57%		1.19%		1.740	1.810	1.560	1.700
03738	阜博集团		主板	2018/01/04	3700		30.01%		2.580	4.97		2.064		21.70%		20.16%		3.480	4.200	3.040	3.100
08501	庄皇集团		创业	2018/01/04	4080		40.35%		1.560	7.56		0.78		0.60%		9.62%		1.600	2.120	1.560	1.710
01730	LHN				主板	2017/12/29	4720		100.00%		1.900	4.93		0.798		28.95%		71.05%		2.430	3.500	2.220	3.250
02708	艾伯科技		主板	2017/12/28	3600		30.00%		1.500	13.90		1.5			20.67%		44.00%		2.100	2.520	1.960	2.160
00784	凌锐控股		主板	2017/12/28	5500		60.07%		0.500	22.40		1			38.00%		0.00%		0.620	0.650	0.500	0.500
08422	WT集团			创业	2017/12/28	2600		48.03%		0.220	10.04		0.55		15.90%		27.27%		0.235	0.340	0.235	0.280
08485	竣球控股		创业	2017/12/28	2800		50.00%		0.250	8.44		0.625		42.00%		28.00%		0.360	0.360	0.295	0.320
03878	VICON			主板	2017/12/22	2400		80.02%		1.200	38.25		1.2			12.50%		5.00%		1.240	1.440	1.200	1.260
08419	AV策划			创业	2017/12/21	3000		100.00%		0.550	21.00		0.55		7.27%		9.09%		0.590	0.650	0.560	0.600
01789	爱康医疗		主板	2017/12/20	4000		60.00%		1.750	20.49		4.375		0.00%		50.86%		1.750	2.670	1.750	2.640
00839	中教控股		主板	2017/12/15	7020		50.02%		6.450	3.01		32.25		-3.10%		-1.86%		6.350	6.470	6.240	6.330
01727	河北建设		主板	2017/12/15	2680		100.00%		4.460	0.99		19.31		-4.71%		0.00%		4.460	4.490	4.460	4.460
02022	游莱互动		主板	2017/12/15	3400		70.15%		0.630	7.91		3.15		4.76%		7.94%		0.670	0.710	0.650	0.680
08377	申酉控股		创业	2017/12/15	3750		40.00%		0.375	29.43		0.75		1.33%		4.00%		0.375	0.400	0.375	0.390
01722	建鹏控股		主板	2017/12/15	6000		25.00%		0.480	39.77		1.2			-6.25%		-15.62%		0.420	0.460	0.400	0.405
08385	万里印刷		创业	2017/12/13	3500		50.01%		0.350	37.87		0.7			0.00%		4.29%		0.380	0.415	0.360	0.365
06090	胜捷企业		主板	2017/12/12	3300		80.00%		3.180	17.76		1.1448		1.57%		1.89%		3.230	3.330	3.180	3.240
01475	日清食品		主板	2017/12/11	4210		100.00%		3.540	32.65		9.49		-6.22%		-4.80%		3.200	3.430	3.100	3.370
01417	浦江中国		主板	2017/12/11	4280		30.01%		1.550	209.19		1.55		2.58%		3.23%		1.550	1.630	1.500	1.600
02227	守益控股		主板	2017/12/11	3400		60.00%		0.850	111.90		1.785		-15.29%		-18.82%		0.690	0.740	0.630	0.690
01697	山东国信		主板	2017/12/08	5430		100.00%		4.560	1.06		29.5		-9.40%		-3.07%		4.560	4.560	4.350	4.420
08429	冰雪集团		创业	2017/12/08	3000		70.02%		0.550	45.00		0.66		3.60%		3.64%		0.570	0.660	0.560	0.570
08406	合宝丰年		创业	2017/12/07	3500		50.00%		0.315	42.60		0.63		1.59%		31.75%		0.315	0.480	0.310	0.415
08495	1957 & CO.		创业	2017/12/05	3500		30.00%		0.630	364.50		0.5			9.50%		-12.70%		0.680	0.700	0.540	0.550
01710	致丰工业		主板	2017/11/23	2880		30.00%		0.620	592.97		1.55		10.00%		12.90%		0.680	0.800	0.640	0.700
08402	GT STEEL		创业	2017/11/17	4200		21.62%		0.540	115.00		0.64		22.00%		-5.56%		0.680	0.680	0.500	0.510
02858	易鑫集团		主板	2017/11/16	3850		10.00%		7.700	560.00		67.65		42.00%		5.45%		9.500	10.180	8.100	8.120
03358	荣威国际		主板	2017/11/16	2900		60.00%		4.380	6.68		11.59		-4.00%		-24.20%		3.250	3.740	3.100	3.320
01975	新兴印刷		主板	2017/11/16	5800		20.01%		1.380	44.00		1.65		9.00%		0.73%		1.420	1.450	1.230	1.390
01337	雷蛇			主板	2017/11/13	4000		50.00%		3.880	291.24		41.24		20.00%		18.04%		5.120	5.490	4.560	4.580
08376	方圆房服		创业	2017/11/15	3200		60.01%		0.790	22.33		0.79		22.00%		6.33%		0.950	0.950	0.810	0.840
08118	濠亮环球		创业	2017/11/16	4000		50.01%		0.300	5.85		0.6			40.00%		100.00%		0.435	0.650	0.400	0.600
08373	靛蓝星			创业	2017/11/16	4000		85.07%		0.600	1.60		0.6			8.00%		46.67%		0.640	0.970	0.610	0.880
01706	双运控股		主板	2017/11/15	2800		70.09%		0.560	15.19		1.4			44.00%		50.00%		0.800	0.920	0.710	0.840
08400	先锋娱乐		创业	2017/11/15	3600		37.83%		0.280	12.90		0.7			77.00%		10.71%		0.510	0.550	0.300	0.310
08375	弘浩国际		创业	2017/11/13	3000		30.01%		0.300	9.86		0.6			67.00%		93.33%		0.530	0.800	0.530	0.580
02122	凯知乐			主板	2017/11/10	4400		5.06%		1.550	11.30		3.1			24.00%		-3.87%		1.800	1.820	1.470	1.490
08426	雅居投资		创业	2017/11/10	3800		25.05%		0.300	9.45		0.6			30.00%		5.00%		0.385	0.435	0.300	0.315
01720	普天通信		主板	2017/11/09	3800		7.51%		0.660	9.86		1.815		95.00%		99.99%		1.380	1.800	1.280	1.460
00772	阅文集团		主板	2017/11/08	11000		7.72%		55.000	625.95		83.25		63.00%		86.18%		90.000	110.000	90.000	102.400
02232	晶苑国际		主板	2017/11/03	4400		100.00%		7.500	9.38		38.2		4.70%		5.20%		7.880	8.170	7.800	7.890
08436	德宝集团		创业	2017/10/27	3450		60.00%		0.690	430.49		0.69		5.80%		-10.14%		0.700	0.720	0.600	0.620
08430	春能控股		创业	2017/10/18	3000		100.00%		0.440	20.00		0.704		13.64%		2.27%		0.490	0.490	0.445	0.450
02225	Kakiko			主板	2017/10/17	2600		75.01%		0.520	169.41		1.599		7.69%		5.77%		0.550	0.610	0.530	0.550
06080	荣智控股		主板	2017/10/20	3120		50.01%		0.520	307.50		1.17		3.85%		0.00%		0.550	0.580	0.520	0.520
08470	莹岚集团		创业	2017/10/25	3760		60.00%		0.460	44.56		0.69		2.17%		0.00%		0.480	0.490	0.450	0.460
08476	大洋环球		创业	2017/10/19	2560		100.00%		1.220	24.50		0.854		8.20%		0.82%		1.320	1.340	1.180	1.230
02337	众诚能源		主板	2017/10/16	2780		100.00%		2.680	58.63		1.57		2.99%		13.43%		2.680	3.120	2.680	3.040
08457	健升物流		创业	2017/10/18	3500		50.00%		0.300	247.00		0.6			21.67%		26.67%		0.370	0.425	0.360	0.380
08065	高萌科技		创业	2017/10/16	3000		10.01%		0.600	1068.00		0.6			71.67%		45.00%		0.990	1.020	0.810	0.870
08392	舍图控股		创业	2017/10/16	2200		100.00%		0.220	82.28		0.55		22.73%		11.36%		0.237	0.285	0.237	0.245
08480	飞霓控股		创业	2017/10/16	2000		100.00%		0.500	161.60		0.63		18.00%		28.00%		0.600	0.720	0.580	0.640
08437	德斯控股		创业	2017/10/13	3840		50.00%		0.480	43.63		0.72		16.67%		41.67%		0.570	0.690	0.520	0.680
06060	众安在线		主板	2017/09/28	5970		100.00%		59.700	391.74		118.98		14.91%		9.21%		69.000	70.500	65.050	65.200
