代码	名称			板块	上市日		询价区间	一手资金	一手中签率	发行价		发行市盈率	绿鞋/公开	可比公司		超购倍数	募资总额	暗盘涨幅	首日涨幅	开盘	最高	最低	收盘	承销商
02117	大唐集团控股	主板	2020/12/11	3.6-4.6		4600		100.00%		4.560		6-8			196.00%		建业地产		0.76		14			-0.88%		0.66%		4.560	4.600	3.610	4.590	工银国际
01153	佳源服务		主板	2020/12/09	3.15-4.05	4050		60.00%		3.860		32-42		150.00%		融创服务		2.79		5			0.78%		0.52%		3.920	3.920	3.700	3.880	海通国际/国泰君安
06999	领地控股		主板	2020/12/10	4.5-6		6000		100.00%		5.690		7-9			262.00%		建业地产		0.57		14			-0.53%		0.00%		5.690	5.750	5.690	5.690	建银国际
06618	京东健康		主板	2020/12/08	62.8-70.58	3529		40.00%		70.580		498-560		136.00%		阿里健康		421.00		269			27.30%		55.85%		94.500	123.900	92.600	110.000	美银/海通国际/UBS
01209	华润万象生活	主板	2020/12/09	18.6-22.3	4460		100.00%		22.300		97-116		200.00%		融创服务		29.00		122			31.61%		25.56%		30.800	32.900	27.250	28.000	建银国际/中金/花旗/高盛
02110	裕勤控股		主板	2020/12/07	0.225-0.27	2700		20.00%		0.225		17-21		-			华营建筑		36.00		1.25		31.11%		-14.67%		0.285	0.500	0.180	0.192	红日资本
06666	恒大物业		主板	2020/12/02	8.5-9.75	4875		50.00%		8.800		86-98		150.00%		融创服务		10.71		140			-0.34%		-0.23%		8.840	8.930	8.540	8.780	华泰国际/UBS
06996	德琪医药-B		主板	2020/11/20	15.8-18.08	9040		20.00%		18.080		-			30.00%		药明巨诺-B		264.00		27			6.75%		1.11%		19.600	19.680	18.280	18.280	高盛/摩根大通
01516	融创服务		主板	2020/11/19	10.55-12.65	12650		30.00%		11.600		105-126		214.00%		保利物业		10.42		73			-0.52%		21.90%		11.600	14.240	11.460	14.140	汇丰/大摩
09666	金科服务		主板	2020/11/17	41.8-47.6	4760		50.00%		44.700		50-57		111.00%		保利物业		11.17		57			1.79%		0.00%		46.050	48.000	44.700	44.700	中信证券/华泰国际
06900	上坤地产		主板	2020/11/17	1.7-2.5		5000		100.00%		2.280		13-20		167.00%		建业地产		0.89		10			-1.32%		0.88%		2.280	2.340	2.210	2.300	农银国际
02599	祥生控股		主板	2020/11/18	4.8-6.2		6200		100.00%		5.590		5.5-7		276.00%		建业地产		0.54		35			-0.89%		0.00%		5.590	5.600	5.590	5.590	建银国际/农银国际
01795	亚东集团		主板	2020/11/18	0.84-1.08	3240		25.00%		0.840		8.4-10.8	-			兴纺控股		18.30		1.26		-11.90%		-1.19%		0.760	0.930	0.710	0.830	富强金融
09901	新东方-S		主板	2020/11/09	1399		13990		100.00%		1190.000	70			250.00%		东软教育		1.55		101			15.97%		14.71%		1381.00	1388.00	1319.00	1365.00	瑞信/美银/UBS
01351	辉煌明天		主板	2020/11/11	1-1.1		2200		45.00%		1.100		11.4-12.5	-			微盟集团		31.00		1.375		38.18%		31.82%		1.670	1.770	1.320	1.450	大有融资
09995	荣昌生物-B		主板	2020/11/09	50.30-52.1	26050		90.00%		52.100		-			37.00%		嘉和生物-B		53.00		39.6		14.97%		33.97%		60.600	73.700	60.600	69.800	大摩/华泰国际/摩根大通
02126	药明巨诺-B		主板	2020/11/03	20-23.8		11900		5.00%		23.800		-			30.00%		康方生物-B		449.00		23.25		2.52%		-7.56%		24.350	25.450	21.850	22.000	高盛/UBS
09698	万国数据-SW		主板	2020/11/02	86			8600		80.00%		80.880		-			300.00%		世纪互联		6.42		125			0.02%		2.62%		81.000	84.000	81.000	83.000	摩根大通/美银/中金/海通国际
00873	世茂服务		主板	2020/10/30	14.8-17.2	17200		50.00%		16.600		77-90		150.00%		保利物业		13.86		99			-7.23%		0.00%		15.800	16.600	15.000	16.600	中金/大摩
03913	合景悠活		主板	2020/10/30	7-8.13		8130		60.00%		7.890		66-77		50.00%		保利物业		44.46		28			-17.62%		-22.94%		6.480	7.000	6.080	6.080	农银国际/华泰国际
09993	金辉控股		主板	2020/10/29	3.5-4.5		4500		100.00%		4.300		4.8-6.3		150.00%		建业地产		1.72		25			-10.93%		1.40%		4.180	4.380	4.180	4.360	农银国际/中信证券/海通国际
02096	先声药业		主板	2020/10/27	12.1-13.7	13700		5.00%		13.700		27-31		30.00%		福森药业		589.00		35.7		-18.39%		-19.85%		11.000	11.500	10.100	10.980	大摩/中金
02169	沧港铁路		主板	2020/10/23	0.85-1.1	4400		6.50%		0.950		10.9-14		-			大秦铁路		12.00		2.3			1.05%		5.26%		0.970	1.130	0.920	1.000	创升
02107	第一服务控股	主板	2020/10/22	1.86-2.46	6150		10.00%		2.400		21.6-28.6	37.50%		金融街物业		66.00		6			-11.67%		-26.67%		2.000	2.060	1.760	1.760	海通国际
06989	卓越商企服务	主板	2020/10/19	9.3-10.68	10680		10.00%		10.680		56-64		30.00%		金融街物业		652.00		32			6.74%		3.00%		11.400	12.040	10.920	11.000	海通国际/招银国际
02115	捷心隆			主板	2020/10/15	0.36-0.4	4000		10.01%		0.360		25-27.8		-			泰林科建		13.47		1.26		177.78%		213.89%		1.160	1.390	1.080	1.130	果树证券
02132	誉粲丰控股		主板	2020/10/20	0.325-0.34	2720		10.00%		0.325		13-13.6		-			震升工程		59.00		1.3			-7.69%		-15.38%		0.300	0.305	0.255	0.275	富比资本
08657	TRUE PARTNER	创业板	2020/10/16	1.55-1.95	3900		15.00%		1.400		-			-			惠理基金		13.00		1.4			-7.14%		-22.86%		1.400	1.400	1.060	1.080	同人融资
02130	嘉泓物流		主板	2020/10/15	2.45-2.85	2850		20.00%		2.660		26-30		40.00%		健升物流		34.00		1.4			1.50%		1.88%		2.660	2.870	2.650	2.710	民银资本
01597	纳泉能源科技	主板	2020/10/20	2-2.6		2600		15.00%		2.000		10.5-13.7	-			金风科技		77.00		1.25		0.00%		3.50%		2.100	2.180	2.050	2.070	富强金融
09677	威海银行		主板	2020/10/12	3.35-3.51	3510		100.00%		3.350		10.5-11		247.00%		贵州银行		0.61		29.4		-2.09%		0.00%		3.350	3.360	3.350	3.350	华泰国际/中金/招银国际
01952	云顶新耀-B		主板	2020/10/09	50-55		27500		2.00%		55.000		-			30.00%		开拓药业-B		654.00		34.95		31.00%		32.27%		70.550	75.500	69.350	72.750	高盛/美银
06998	嘉和生物-B		主板	2020/10/07	20.3-24		12000		3.00%		24.000		-			30.00%		永泰生物-B		1247.00		28			31.67%		16.46%		29.200	32.200	27.200	27.950	高盛/摩根大通
09991	宝尊电商-SW		主板	2020/09/29	103.90		10390		70.00%		82.900		50			150.00%		京东-SW			3.60		32			0.00%		1.33%		85.000	86.000	83.500	84.000	花旗/招银国际/瑞信
02057	中通快递-SW		主板	2020/09/29	268			13400		70.00%		218.000		30			300.00%		健升物流		6.69		96.7		8.72%		9.17%		244.000	245.200	236.400	238.000	高盛
09616	东软教育		主板	2020/09/29	5.18-6.22	4976		10.00%		6.220		19.5-23.5	30.00%		新高教集团		300.00		10.3		29.42%		0.00%		7.800	7.940	5.980	6.220	中信证券
09688	再鼎医药-SB		主板	2020/09/28	648			32400		50.00%		562.000		-			176.00%		开拓药业-B		3.43		59.73		3.65%		8.54%		613.500	617.500	602.000	610.000	摩根大通/高盛/花旗
01429	天任集团		主板	2020/09/29	0.35-0.44	3520		12.50%		0.350		14.7-18.5	-			震升工程		26.76		1.4			45.71%		185.71%		0.900	1.120	0.580	1.000	同人融资
00909	明源云			主板	2020/09/25	15-16.5		16500		10.00%		16.500		117-129		40.00%		金蝶软件		644.00		61			52.42%		86.06%		25.800	32.000	25.000	30.700	中金/花旗
01179	华住集团-S		主板	2020/09/22	368			18400		100.00%		297.000		59			150.00%		海天地悦旅		3.39		59			2.36%		4.71%		305.000	312.000	303.400	311.000	高盛/招银国际
06988	乐享互动		主板	2020/09/23	2.14-3.21	3210		10.00%		2.880		60-90		30.00%		微盟集团		1632.00		15			-1.04%		-6.25%		2.700	2.960	2.700	2.700	中信建投/招银国际/交银国际
02101	福禄控股		主板	2020/09/18	6.9-8.9		4450		2.00%		8.900		31-40		30.00%		微盟集团		1258.00		8.9			16.85%		3.15%		9.300	10.660	9.140	9.180	招银国际
09987	百胜中国-S		主板	2020/09/10	468			23400		25.00%		412.000		33			91.00%		海底捞			52.32		170			-2.91%		-5.29%		410.000	410.000	386.200	390.200	高盛
01455	科利宝业控股	主板	2020/09/15	0.4-0.6		3000		30.00%		0.400		12-18		-			全达电器		7.70		1.25		102.50%		230.00%		0.950	1.320	0.820	1.320	创升
01408	濠江机电		主板	2020/09/11	1-1.2		2400		30.11%		1.000		12.6-15.2	-			荣丰集团		8.99		1.25		85.00%		186.00%		2.100	3.550	2.000	2.860	创升
09633	农夫山泉		主板	2020/09/08	19.5-21.5	4300		12.00%		21.500		36-40		55.00%		蒙牛乳业		1148.00		83.4		91.86%		53.95%		39.800	39.850	31.300	33.100	中金/大摩
09913	智勤控股		主板	2020/08/14	0.52-0.64	2560		80.01%		0.520		13-16		-			TBKS HLDGS		19.15		1.3			-9.62%		-18.27%		0.385	0.490	0.385	0.425	丰盛融资
