代码	名称			板块	上市日		询价区间	一手资金	一手中签率	发行价		发行市盈率	绿鞋/公开	可比公司		超购倍数	募资总额	暗盘涨幅	首日涨幅	开盘	最高	最低	收盘	承销商
09933	GHW INTL		主板	2020/01/21	0.51-0.65	2600		40.00%		0.510		6.2-7.9		-			彩客化学		21.70		1.27		-14.71%		-31.37%		0.440	0.475	0.350	0.350	富强金融
01745	LVJI TECH		主板	2020/01/17	2.12		4240		20.00%		2.120		19-27		37.00%		携程			84.66		7.46		-15.57%		-10.38%		1.730	2.110	1.670	1.900	建银国际
01937	佳辰控股		主板	2020/01/17	0.53-0.6	3000		50.01%		0.530		20-22		-			捷隆控股		7.63		1.3			-29.25%		-36.79%		0.380	0.390	0.335	0.335	德健融资
01412	隽思集团		主板	2020/01/16	1.05-1.45	2900		49.31%		1.180		8-11		63.00%		山鹰纸业		6.81		1.45		5.08%		-6.78%		1.150	1.160	1.000	1.100	国泰君安
01525	建桥教育		主板	2020/01/16	6.05-7.73	3865		40.00%		6.050		19-24		150.00%		新高教集团		4.52		6.05		7.77%		12.56%		6.700	7.140	6.600	6.810	麦格理
09919	艾德韦宣集团	主板	2020/01/16	1.71-2.34	4680		20.00%		2.020		28-39		30.00%		旅橙文化		113.00		4			-10.40%		-22.28%		1.800	1.900	1.570	1.570	东兴证券
09968	汇景控股		主板	2020/01/16	1.93-2.39	4780		100.00%		1.930		22-28		-			建业地产		0.32		15			-3.63%		1.04%		1.940	1.980	1.730	1.950	银河国际
09938	华和控股		主板	2020/01/17	0.5-0.54	2700		25.00%		0.500		15-16		-			现恒建筑		16.69		1.25		-2.00%		60.00%		0.470	0.860	0.460	0.800	第一上海
01802	文业集团		主板	2020/01/14	1.06-1.37	2740		25.02%		1.060		10-12		-			三和建筑		12.62		1.56		-4.72%		2.83%		0.980	1.250	0.890	1.090	富强金融
08646	中国宏光		创业板	2020/01/13	0.77-0.89	2670		10.50%		0.770		6.5-7.5		-			福莱特玻璃		27.90		0.57		12.99%		2.60%		0.950	0.980	0.770	0.790	东兴证券
01442	INFINITY L&T	主板	2020/01/21	0.28-0.34	3400		10.00%		0.310		13-16		-			毅德国际		10.46		1.5			14.52%		9.68%		0.335	0.370	0.325	0.340	建泉融资
01740	新石文化		主板	2020/01/16	0.5-0.74	3700		1.50%		0.500		7-10		30.00%		阿里影业		1212.00		1.25		80.00%		40.00%		0.980	1.020	0.670	0.700	中泰国际
03718	北控城市资源	主板	2020/01/15	0.69-0.8	3200		80.02%		0.690		7.3-8.4		150.00%		上海环境		2.70		6.21		0.00%		0.01%		0.690	0.700	0.610	0.690	海通国际/DBS
09922	九毛九			主板	2020/01/15	5.5-6.6		6600		25.00%		6.600		94-113		30.00%		太兴集团		637.82		22			42.73%		56.36%		9.500	10.320	9.100	10.320	招银国际
01925	旷世控股		主板	2020/01/16	1.28-1.6	3200		60.00%		1.280		6-7.5		50.00%		舍图控股		17.66		1.28		-17.97%		-25.00%		0.960	1.140	0.900	0.960	兴证国际
08500	天泓文创		创业板	2020/01/14	1.38-1.98	3960		19.89%		1.390		12-17		-			中视金桥		15.10		0.62		-2.88%		-28.77%		1.180	1.350	0.990	0.990	创升
01416	CTR HOLDINGS	主板	2020/01/15	0.36-0.38	3800		18.20%		0.360		13.4-14.2	-			广骏集团		18.17		1.26		-16.67%		-29.17%		0.250	0.310	0.250	0.255	均富融资
02528	尚晋国际控股	主板	2020/01/13	1.7-2.1		4200		14.00%		2.000		6.5-8.1		-			利华控股		17.70		2			-17.50%		-27.00%		1.630	1.670	1.350	1.460	兴证国际
00301	三和精化		主板	2020/01/16	1.2-1.4		2800		30.00%		1.300		19-22		-			东光化工		37.75		1.3			-0.77%		-20.77%		1.300	1.300	0.990	1.030	建泉融资
09918	丽年国际		主板	2020/01/10	0.25-0.31	2480		40.00%		0.250		6.5-8.05	-			恒达科技		35.19		1.25		-4.80%		-0.40%		0.240	0.265	0.232	0.249	华高和昇
09998	光荣控股		主板	2020/01/08	0.65-0.75	3750		5.25%		0.650		10.8-12.5	-			华营建筑		48.73		1.3			-6.15%		-7.69%		0.600	0.680	0.550	0.600	浦银国际
01542	台州水务		主板	2019/12/31	4.21-5.01	5010		20.00%		4.220		6.9-8.21	-			北控水务		5.47		2.1			1.42%		0.00%		4.220	4.280	3.860	4.220	国金证券
09911	赤子城科技		主板	2019/12/31	1.4-1.8		3600		2.00%		1.680		18.9-24.3	30.00%		鲁大师			1441.83		2.2			84.52%		93.45%		3.020	3.870	3.000	3.250	民银资本
06199	贵州银行		主板	2019/12/30	2.46-2.61	2610		100.00%		2.480		11-11.8		110.00%		青岛银行		0.25		54			-2.02%		-7.26%		2.480	2.490	2.280	2.300	农银国际/建银国际/中信里昂
09909	宝龙商业		主板	2019/12/30	7.5-10		5000		90.00%		9.500		30-40		37.50%		银泰商业		53.24		13			1.89%		5.89%		9.500	10.240	9.500	10.060	农银国际
06049	保利物业		主板	2019/12/19	30.7-35.1	7020		100.00%		35.100		45-52		30.00%		佳兆业物业		222.68		46.8		14.67%		29.20%		43.800	45.350	40.800	45.350	广发证券/华泰国际/农银国际
09928	时代邻里		主板	2019/12/19	4.23-5.8	5800		35.00%		5.150		54-74		-			佳兆业物业		10.61		8			0.00%		-5.24%		4.890	5.150	4.800	4.880	海通国际
01691	JS环球生活		主板	2019/12/18	5.2			2600		100.00%		5.200		63			150.00%		全达电器		2.68		26			0.00%		5.58%		5.250	5.630	5.230	5.490	瑞信/大摩/工银国际
06193	泰林科建		主板	2019/12/18	1.3-1.4		2800		15.01%		1.300		13.8-14.9	-			云南建投混凝土	41.99		1.02		31.54%		13.85%		1.700	1.820	1.400	1.480	南华金融
06919	人瑞人才		主板	2019/12/13	26.6-28.9	2890		100.00%		26.600		-			181.00%		智联招聘		0.83		10.11		-5.08%		-0.19%		26.600	27.000	26.300	26.550	法巴
09966	康宁杰瑞制药-B	主板	2019/12/12	9.1-10.2	10200		40.00%		10.200		-			30.00%		复宏汉霖-B		192.10		18.3		25.10%		32.35%		13.000	13.800	13.000	13.500	大摩/中信里昂/富瑞
01553	迈科管业		主板	2019/12/18	1.86-2.4	4800		19.96%		2.280		7.15-9.23	-			中国联塑		8.27		2.1			117.11%		-5.70%		3.800	4.200	2.140	2.150	富强金融
08216	丰城控股		创业板	2019/12/13	0.6-0.7		3500		30.00%		0.600		15-17.5		-			华营建筑		24.40		0.6			-13.33%		-27.50%		0.500	0.520	0.425	0.435	均富融资
02400	心动公司		主板	2019/12/12	11.1-15.8	3160		40.00%		11.100		14.8-10.8	150.00%		家乡互动		11.19		7.06		11.17%		6.85%		11.980	12.320	11.260	11.860	中信里昂
03680	索信达控股		主板	2019/12/13	1.5-1.8		3600		60.00%		1.500		23-28		-			创世纪集团		15.16		1.5			-9.33%		8.00%		1.370	2.160	1.370	1.620	安信国际
01503	招商局商业房托	主板	2019/12/10	3.42-4		4000		100.00%		3.420		3.16-3.7	50.00%		汇贤产业信托	1.43		25.65		-3.80%		0.00%		3.290	3.290	3.070	3.150	花旗
02500	启明医药-B		主板	2019/12/10	29-33		16500		30.00%		33.000		-			30.00%		东曜药业-B		312.42		25.7		19.39%		30.45%		40.000	43.600	37.700	43.050	高盛/中金/瑞信/招商证券
01593	辰林教育		主板	2019/12/13	2.2-3.52	7040		100.00%		2.200		24-38		-			华立大学		1.73		5.5			0.45%		-6.36%		2.230	2.260	1.900	2.060	第一上海
08645	NOMAD TECH		创业板	2019/12/09	0.34-0.4	2400		20.00%		0.400		13-14.8		-			创世纪集团		148.60		0.6			5.00%		-30.00%		0.405	0.430	0.275	0.280	脉搏资本
02231	景业名邦		主板	2019/12/05	2.91-3.63	3630		100.00%		3.160		11-13.7		150.00%		建业地产		1.89		12.5		3.80%		2.22%		3.300	3.330	3.150	3.230	星展亚洲
01425	捷隆控股		主板	2019/11/28	0.4-0.5		2500		21.00%		0.400		8.5-10.6	-			嘉艺控股		13.96		1.24		16.25%		3.75%		0.480	0.510	0.405	0.415	国泰君安
09988	阿里巴巴-SW		主板	2019/11/26	188			18800		80.00%		176.000		40			150.00%		京东			42.44		875			4.55%		6.59%		187.000	189.500	187.000	187.600	中金/瑞信
03759	康龙化成		主板	2019/11/28	34.5-39.5	3950		100.00%		39.500		71-82		30.00%		药明康德		114.23		45.8		8.48%		6.96%		43.450	43.850	41.600	42.250	高盛/中信里昂/东方证券
08208	WMCH GLOBAL		创业板	2019/11/29	0.38-0.48	2880		28.00%		0.400		31-40		-			华营建筑		30.30		0.6			15.00%		0.00%		0.480	0.490	0.395	0.400	天泰金融
01756	华立大学		主板	2019/11/25	2.93-3.26	3260		70.00%		3.260		14-15.5		-			新高教集团		3.72		9.78		-9.51%		-17.18%		2.860	3.060	2.680	2.700	中信建投
02296	华记环球		主板	2019/11/21	0.25-0.3	2400		25.01%		0.250		10-12		-			DCB控股			61.00		1.25		28.00%		4.00%		0.315	0.340	0.250	0.260	Amcap
03348	中国鹏飞		主板	2019/11/15	1.05-1.58	3160		50.00%		1.580		6.6-9.8		-			德基科技		27.72		1.97		0.63%		-24.68%		1.580	1.600	1.150	1.190	安信国际
01346	利华控股		主板	2019/11/13	0.85-1.05	4200		40.00%		0.850		10.7-13.3	50.00%		嘉艺控股		31.20		1.46		-11.76%		-27.06%		0.740	0.780	0.620	0.620	浩德融资
08617	永联丰控股		创业板	2019/11/15	0.5-0.6		3000		30.00%		0.550		20-25		-			苍南仪表		62.67		0.55		-3.64%		1.82%		0.550	0.580	0.520	0.560	络绎资本
01747	HOME CONTROL	主板	2019/11/14	1.02-1.49	2980		40.00%		1.020		18-26		50.00%		舍图控股		16.14		1.27		0.00%		-9.80%		0.930	1.050	0.860	0.920	茂宸环球
01640	瑞诚中国传媒	主板	2019/11/12	1.25-1.75	3500		65.01%		1.250		9.8-13.7	-			中视金桥		19.47		1.25		-7.20%		-0.80%		1.130	1.400	1.120	1.240	东兴证券
03681	中国抗体-B		主板	2019/11/12	7.6-9.6		2880		100.00%		7.600		-			150.00%		君实生物-B		12.87		13.8		0.00%		-21.05%		7.300	7.300	6.000	6.000	中金/东方证券
02103	新力控股		主板	2019/11/15	3.3-4.25	4250		100.00%		3.980		25-32		211.00%		建业地产		0.71		20			0.75%		-0.75%		3.980	4.040	3.900	3.950	农银国际/华泰国际
06186	中国飞鹤		主板	2019/11/13	7.5-10		10000		65.00%		7.500		27-35		150.00%		蒙牛乳业		13.14		67			-2.40%		-0.80%		7.270	7.510	7.060	7.440	摩根大通/招商证券/建银国际
08627	旅橙文化		创业板	2019/11/14	0.25-0.33	2640		30.00%		0.275		12.6-16.6	-			中智全球		36.10		0.55		10.91%		1.82%		0.300	0.330	0.275	0.280	富比资本
01401	SPROCOMM INTEL	主板	2019/11/13	0.5-0.6		12000		5.00%		0.500		9-10.9		-			维太移动		74.00		1.25		38.00%		24.00%		0.700	0.760	0.600	0.620	德健融资
01427	中国天保		主板	2019/11/11	2.39-3.1	3100		100.00%		2.500		15.9-20		189.00%		建业地产		0.79		4.9			5.20%		2.80%		2.500	2.570	2.390	2.570	农银国际/国泰君安
01875	东曜药业-B		主板	2019/11/08	6.55-7.55	3020		15.00%		6.550		-			55.00%		亚盛医药-B		12.95		5.89		-6.41%		-4.43%		6.430	6.430	6.020	6.260	工银国际
01501	康德莱医械		主板	2019/11/08	20.1-20.8	4160		30.00%		20.800		50-52		-			威高股份		267.97		8.32		23.80%		29.81%		27.000	30.000	26.350	27.000	交银国际
01921	达力普控股		主板	2019/11/08	1.59-1.83	3660		60.00%		1.590		7.22-8.3	61.00%		天大石油管材	2.53		4.77		5.66%		-3.77%		1.590	1.650	1.470	1.530	民银资本
01870	益美国际控股	主板	2019/11/08	0.97-1.31	3275		25.00%		0.970		6.46-8.7	-			广骏集团		20.13		1.26		18.56%		46.39%		1.100	1.630	0.860	1.420	东兴证券
03603	信基沙溪		主板	2019/11/08	0.9-1.1		3300		80.02%		1.000		6.4-7.85	-			维亮控股		4.58		3.8			39.00%		30.00%		1.290	1.370	1.110	1.300	Raffaello
01922	银城生活服务	主板	2019/11/06	1.9-2.28	4560		3.00%		2.180		16.8-20		30.00%		佳兆业物业		382.88		1.4			11.47%		15.60%		2.480	2.740	2.400	2.520	工银国际
02163	远大住工		主板	2019/11/06	9.68-12.48	3744		100.00%		9.680		9-11.7		150.00%		浦江国际		1.38		11.7		-4.86%		-0.10%		8.700	9.720	8.670	9.670	中金/中信建投
01987	BENG SOON MACH	主板	2019/11/08	0.5-0.7		2800		35.00%		0.500		28-39		-			惠生工程		26.41		1.25		0.00%		0.00%		0.530	0.680	0.475	0.500	竤信
01821	ESR				主板	2019/11/01	16.2-17.4	3480		100.00%		16.800		30-32		282.00%		中国物流资产	3.22		105			3.10%		5.36%		17.600	18.100	17.400	17.700	德银/中信里昂
00302	中手游			主板	2019/10/31	2.19-2.83	5660		15.00%		2.830		14-18		30.00%		游莱互动		543.83		13			4.59%		2.12%		2.810	3.170	2.750	2.890	中金/法巴
01847	云南建投混凝土	主板	2019/10/31	2.76-3.51	3510		70.00%		3.360		6-7.8		50.00%		华润水泥		18.46		4.4			-16.67%		-20.83%		2.660	3.010	2.540	2.660	中金
06855	亚盛医药-B		主板	2019/10/28	32.2-34.2	3420		9.00%		34.200		-			30.00%		君实生物-B		751.99		4.16		52.34%		9.94%		53.000	53.600	37.550	37.600	美银/花旗
01692	登辉控股		主板	2019/10/25	1.3-1.5		3000		10.00%		1.300		13.7-15.8	-			全达电器		274.49		1.3			-19.23%		-33.85%		1.070	1.210	0.860	0.860	同人融资
01871	向中国际		主板	2019/10/24	1.28-1.42	5680		1.60%		1.280		21-23.6		-			东方时尚		380.15		1.28		13.28%		-32.03%		1.460	1.480	0.870	0.870	信达国际
02606	蓝光嘉宝服务	主板	2019/10/18	30.6-39		3900		100.00%		37.000		16.3-20.7	37.00%		佳兆业物业		52.89		15			17.84%		15.00%		44.400	46.500	39.650	42.550	华泰国际/农银国际
01959	世纪联合		主板	2019/10/18	1.01-1.23	2460		40.00%		1.080		13.3-16		-			中升集团		22.16		1.35		7.41%		-28.70%		1.060	1.300	0.770	0.770	富强金融
08441	国际永胜集团	创业板	2019/10/22	0.32-0.39	3900		30.00%		0.320		10-12		-			中智全球		41.56		0.64		62.50%		0.00%		0.550	0.720	0.500	0.570	南华金融
01084	绿新亲水胶体	主板	2019/10/17	1.16-1.74	3480		100.00%		1.160		10-14.9		-			豪特保健		1.59		2.32		42.24%		16.38%		1.770	1.780	1.200	1.350	安信国际
01843	快餐帝国		主板	2019/10/23	0.65-0.75	3000		19.49%		0.650		40-46		-			叙福楼			13.68		1.3			84.62%		-6.15%		1.190	1.870	0.570	0.610	力高企业
01846	德视佳			主板	2019/10/15	6.2-8.8		8800		30.00%		7.500		53-76		45.00%		希玛眼科		42.72		5.5			71.73%		46.67%		14.200	15.180	10.800	11.000	中银国际
01967	信懇智能		主板	2019/10/18	2-2.5		5000		15.01%		2.000		11-13.8		-			恒达科技		12.88		1.25		57.00%		70.00%		3.200	4.000	2.700	3.400	德健融资
01853	春城热力		主板	2019/10/24	1.9-2.5		6250		20.00%		2.350		8-10.2		37.00%		北京控股		98.25		2.6			-2.98%		-6.38%		2.150	2.450	2.150	2.200	中银国际
01283	高陞集团		主板	2019/10/18	0.625-0.75	3750		10.00%		0.730		8.8-10.6	-			顺兴集团		81.62		1.45		31.51%		1.37%		0.980	1.000	0.670	0.740	Amcap
01582	华营建筑		主板	2019/10/16	1-1.4		3500		20.00%		1.000		7-10		-			耀高控股		9.87		1.38		128.00%		15.00%		2.270	2.780	1.110	1.150	第一上海
01955	庄臣控股		主板	2019/10/16	1-1.2		2400		50.00%		1.000		23-27		-			立高控股		50.03		1.25		48.00%		23.00%		1.600	2.160	1.230	1.230	西证国际
08418	傲迪玛汽车		创业板	2019/10/11	0.2-0.26	2600		40.00%		0.240		-			-			中升集团		28.18		0.6			6.25%		93.75%		0.270	0.465	0.270	0.465	东方证券
03601	鲁大师			主板	2019/10/10	2.3-3		3000		20.00%		2.700		7.4-9.7		-			豆盟科技		277.36		1.5			38.89%		218.52%		4.000	8.700	3.990	8.600	国信香港
06110	滔博			主板	2019/10/10	8.3-10.1	10100		100.00%		8.500		22-26		150.00%		宝胜国际		2.39		78			-0.71%		8.82%		8.500	9.500	8.500	9.250	美银/大摩
01895	鑫苑服务		主板	2019/10/11	2.08-3		3000		20.01%		2.080		12.3-17.7	-			佳兆业物业		6.01		2.6			12.98%		41.83%		2.800	4.200	2.800	2.950	东方证券
06820	FRIENDTIMES		主板	2019/10/08	1.52-1.96	3920		50.00%		1.520		9-11.5		150.00%		指尖悦动		7.95		5.016		0.66%		0.00%		1.520	1.550	1.410	1.520	国泰君安
01876	百威亚太		主板	2019/09/30	27-30		3000		100.00%		27.000		100-111		300.00%		青岛啤酒		3.64		367			1.30%		4.44%		27.400	28.900	27.250	28.200	摩根大通/大摩
03938	LFG投资控股		主板	2019/09/30	1.3-1.7		3400		25.06%		1.680		10.6-13.87	-			耀才证券		28.42		1.2			-1.79%		-36.31%		1.450	1.630	1.050	1.070	力高企业
01960	TBKS HLDGS		主板	2019/09/30	0.5-0.6		3000		10.01%		0.500		14.5-17.45	-			震升工程		9.60		1.25		46.00%		60.00%		0.690	0.970	0.690	0.800	红日资本
08668	瀛海集团		创业板	2019/09/26	0.2-0.24	2400		30.00%		0.240		10.9-13		-			海天地悅旅		54.90		0.72		-10.00%		0.42%		0.240	0.242	0.204	0.241	力高企业
02696	复宏汉霖-B		主板	2019/09/25	49.6-57.8	5780		100.00%		49.600		-			150.00%		君实生物-B		3.89		32.1		-2.22%		-0.30%		47.450	49.500	46.650	49.450	中金/美银/招银国际/复星/花旗
03928	S&T HLDGS		主板	2019/09/19	1.05-1.15	2300		35.01%		1.070		13.15-14.41	-			耀高控股		7.21		1.27		14.95%		14.02%		1.340	1.360	1.150	1.220	均富融资
01920	恒新丰控股		主板	2019/08/16	0.2			2000		80.00%		0.200		12.9		-			恒益控股		15.14		1.3			15.00%		-16.00%		0.171	0.190	0.163	0.168	均富融资
00382	中汇集团		主板	2019/07/16	2.48-3.22	6440		100.00%		2.850		13.4-17.4	150.00%		中教控股		2.42		7			0.00%		0.70%		2.850	2.950	2.840	2.870	法巴
02558	晋商银行		主板	2019/07/18	3.8-3.98	3980		100.00%		3.820		14.6-15.3	849.00%		青岛银行		0.18		32.7		3.40%		0.00%		3.950	3.950	3.820	3.820	建银国际/中金/招银国际
01912	康特隆			主板	2019/07/16	0.63-0.68	3400		25.00%		0.650		25-27		-			天长集团		39.90		1.29		27.69%		6.15%		0.880	0.890	0.680	0.690	同人融资
01949	PLATT NERA		主板	2019/07/16	1.25-1.55	3100		14.01%		1.250		17-21		-			连成科技		13.67		1.25		30.40%		24.00%		1.730	1.770	1.440	1.550	浩德融资
01134	恒发光学		主板	2019/07/16	1-1.2		4800		15.00%		1.000		16-19		-			金力集团		29.68		1.25		27.00%		6.00%		1.290	1.320	1.030	1.060	信达国际
06805	金茂源环保		主板	2019/07/16	1.08-1.44	2880		90.00%		1.330		22-29		-			达力环保		1.96		3.5			-0.75%		-2.26%		1.350	1.440	1.160	1.300	申万宏源
01931	华检医疗		主板	2019/07/12	3.07-3.68	3680		50.00%		3.070		36-43		-			盈健医疗		2.21		10.2		-3.58%		0.00%		2.810	3.440	2.810	3.070	中银国际
01977	安乐工程		主板	2019/07/12	1.2			2400		100.00%		1.200		5.3			-			顺兴集团		7.59		4.2			-15.00%		35.83%		1.150	1.710	1.130	1.630	交银国际
02772	中梁控股		主板	2019/07/16	5.2-6.68	3340		100.00%		5.550		8.4-10.8	150.00%		建业地产		1.01		28			-2.88%		7.21%		5.550	6.220	5.530	5.950	建银国际
06093	和泓服务		主板	2019/07/12	1.28-1.56	3120		20.01%		1.280		15.8-19.2	-			佳兆业物业		5.31		1.28		61.72%		34.37%		1.820	2.230	1.630	1.720	西证国际
08612	维亮控股		创业板	2019/07/12	0.4-0.55	5500		35.01%		0.550		30-42		-			兴铭			28.19		0.825		18.18%		41.82%		0.700	0.810	0.610	0.780	中毅资本
01839	中集车辆		主板	2019/07/11	6.38-8.08	4040		100.00%		6.380		8-10.2		108.00%		英恒科技		2.74		16.9		-4.39%		-3.76%		5.900	6.340	5.800	6.140	海通国际
02180	万宝盛华		主板	2019/07/10	9.9-12.6	3150		85.01%		9.900		13.8-17.5	150.00%		桥英控股		4.67		4.95		10.10%		-1.01%		10.680	10.780	9.170	9.800	华泰国际
00924	坤集团			主板	2019/07/05	0.5			4800		6.83%		0.500		25-30		-			顺兴集团		13.36		1.25		110.00%		132.00%		1.000	1.250	0.790	1.160	新华汇富
03798	家乡互动		主板	2019/07/04	1.35-1.85	3700		60.00%		1.350		7.3-10		62.00%		昆仑万维		2.77		4.2			33.33%		26.67%		2.200	2.640	1.640	1.710	光大新鸿基
01286	鹰普精密		主板	2019/06/28	2.8-3.3		3300		100.00%		3.000		12.5-14.8	150.00%		苍南仪表		2.72		10			8.67%		0.33%		3.250	3.380	3.000	3.010	大摩/中银国际
01701	途屹控股		主板	2019/06/28	0.52-0.68	2720		60.01%		0.520		20-26		-			纵横游			6.20		1.3			-5.77%		-41.35%		0.405	0.430	0.300	0.305	创升
01901	飞扬集团		主板	2019/06/28	1-1.1		2200		50.01%		1.050		18-20		50.00%		纵横游			19.14		1.3			-0.95%		-6.67%		0.990	1.010	0.900	0.980	智富
01943	银涛控股		主板	2019/06/28	0.5-0.54	2700		100.00%		0.500		13.5-14.6	-			耀高控股		3.23		1.25		-24.00%		-7.00%		0.410	0.495	0.410	0.465	Grande Capital
01930	勋龙			主板	2019/06/28	0.8-0.88	3520		40.04%		0.880		12-13		-			天瑞汽车		6.01		1.45		29.55%		34.09%		1.270	1.420	0.990	1.180	BALLAS
01849	创世纪集团		主板	2019/06/26	0.65-0.7	3500		25.00%		0.650		22-24		-			兑吧集团		9.03		1.3			-3.08%		-24.62%		0.500	0.580	0.480	0.490	浩德融资
01842	植华集团		主板	2019/06/28	0.5			2000		35.00%		0.500		12.5		-			威诚国际		8.29		1.25		18.00%		14.00%		0.540	0.670	0.540	0.570	德健融资
01951	锦欣生殖		主板	2019/06/25	7.76-8.54	17080		65.00%		8.540		64-71		37.00%		康宁医院		99.26		30			17.33%		8.67%		9.900	10.680	9.120	9.280	大摩/中信里昂
01769	思考乐教育		主板	2019/06/21	3.64-4.68	4680		100.00%		3.680		24-31		37.00%		枫叶教育		1.57		4.5			7.61%		0.27%		4.100	4.160	3.530	3.690	中信里昂
01935	嘉宏教育		主板	2019/06/18	1.5-1.92	3840		100.00%		1.500		13.5-17.3	12.00%		新高教集团		0.46		6			-1.33%		10.00%		1.490	1.660	1.450	1.650	麦格理
06117	日照港裕廊		主板	2019/06/19	1.37-1.51	3020		100.00%		1.500		12.9-14		629.00%		青岛港			0.24		6			4.00%		166.67%		1.600	5.510	1.560	4.000	中信建投
03692	翰森制药		主板	2019/06/14	13.06-14.26	28520		60.01%		14.260		34-37.5		214.00%		药明康德		11.77		78			15.71%		36.75%		16.300	21.200	16.120	19.500	大摩
02189	嘉涛香港控股	主板	2019/06/13	0.6-0.64	2560		20.00%		0.600		15.3-16.4	-			松龄护老		80.37		1.5			-11.67%		-6.67%		0.510	0.610	0.510	0.560	鼎珮
06811	太兴集团		主板	2019/06/13	2.8-3.8		3800		80.00%		3.000		9.2-12.4	20.00%		小南国			15.51		8			-7.00%		-12.00%		2.480	2.770	2.480	2.640	交银国际
00667	中国东方教育	主板	2019/06/12	9.8-12.26	6130		100.00%		11.250		36.84-46	-			新华教育		0.08		48			-1.33%		-11.82%		10.360	10.700	9.600	9.920	法巴
03877	中国船舶租赁	主板	2019/06/17	1.34-1.42	2840		100.00%		1.340		11.6-12.34	135.00%		润利海事		0.11		20.5		11.94%		-7.46%		1.400	1.450	1.190	1.240	中金
06055	中烟香港		主板	2019/06/12	3.88-4.88	4880		60.00%		4.880		10-12.57	30.00%		菲利普莫里斯	102.04		8.1			2.05%		9.63%		4.970	5.890	4.930	5.350	中金/招商证券
01905	海通恒信		主板	2019/06/03	1.88-2.08	4160		100.00%		1.880		10.4-11.5	-			富银融资租赁	0.06		23			4.79%		0.00%		1.890	1.900	1.870	1.880	海通国际/中金/花旗/招银国际
02181	迈博药业-B		主板	2019/05/31	1.5-1.95	3900		100.00%		1.500		-			150.00%		康诺希生物-B	1.46		11.7		-3.33%		-19.33%		1.500	1.500	1.200	1.210	中金
01521	方达控股		主板	2019/05/30	2.55-3.2	6400		50.00%		3.200		37.5-47		-			维亚生物		91.70		16			15.94%		4.69%		3.680	3.780	3.280	3.350	美银/高盛
02060	浦江国际		主板	2019/05/28	2.56-3.55	3550		100.00%		2.680		15-21.5		327.00%		海东青新材料	0.46		6.3			1.12%		1.12%		2.680	2.730	2.650	2.710	海通国际
03868	信义能源		主板	2019/05/28	1.89-2.35	4700		100.00%		1.940		17-21		150.00%		顺风光电		1.07		36			2.06%		0.00%		1.950	1.970	1.940	1.940	法巴
01817	慕尚集团		主板	2019/05/27	4.68-5.88	2940		100.00%		4.390		8-10.13		73.00%		杉杉品牌		0.48		8			-3.19%		2.51%		4.450	4.510	4.100	4.500	瑞信/花旗/招银国际
02230	羚邦集团		主板	2019/05/21	0.45-0.53	2650		60.00%		0.450		9.5-11.3	-			雅仕维传媒		15.77		2.24		-8.89%		-31.11%		0.395	0.405	0.300	0.310	国泰君安
01832	海天地悅旅		主板	2019/05/16	3.54-4.48	4480		100.00%		3.540		14.16-17.9	-			复星文旅		1.17		3.19		-5.08%		-2.26%		3.300	3.650	3.200	3.460	交银国际
02346	星宇控股		主板	2019/05/16	1-1.22		2440		50.00%		1.000		8.3-10.2	-			高鹏矿业		11.38		1.25		6.00%		11.00%		1.140	1.200	1.050	1.110	西证国际
01903	JBB BUILDERS	主板	2019/05/10	1.18-1.38	2760		100.00%		1.180		13.5-15.8	-			奥邦建筑		1.20		1.47		-24.58%		4.24%		1.050	1.260	0.950	1.230	同人融资
01873	维亚生物		主板	2019/05/09	3.42-4.41	2205		100.00%		4.410		36-46		-			药明生物		106.92		15.2		3.17%		0.23%		4.510	4.670	4.410	4.420	中金
01857	光大水务		主板	2019/05/08	2.99-4.35	4350		100.00%		2.990		12.3-17.9	150.00%		北控水务		2.43		3.1			0.67%		-11.37%		2.990	3.000	2.560	2.650	中金/光大新鸿基
01753	兌吧			主板	2019/05/07	6-8.1		3240		100.00%		6.000		27-36		150.00%		豆盟科技		7.69		6.66		2.50%		0.17%		5.700	6.390	5.700	6.010	招银国际/汇丰
08635	连成科技		创业板	2019/05/02	0.53-0.67	2680		15.00%		0.530		16-20		-			捷利交易宝		101.30		0.53		77.36%		37.74%		0.920	1.030	0.710	0.730	东兴证券
01780	B&D STRATEGIC	主板	2019/04/30	0.84-1.06	2650		30.00%		0.840		10.5-13.25	-			奥邦建筑		11.25		1.3			-7.14%		5.95%		0.780	0.900	0.760	0.890	均富融资
01906	博尼国际		主板	2019/04/26	0.46-0.6	3000		50.00%		0.580		17.7-23		-			卡宾服饰		95.94		1.7			1.72%		0.00%		0.580	0.600	0.530	0.580	创升
06806	申万宏源		主板	2019/04/26	3.63-3.93	3144		100.00%		3.630		25-27		250.00%		中信证券		3.78		90			10.19%		-11.85%		3.630	3.640	3.100	3.200	申万宏源/高盛/工银国际/农银国际
01545	设计都会		主板	2019/04/25	0.3-0.39	3900		50.00%		0.300		13.6-17.7	-			国际家居零售	55.90		1.5			13.33%		-10.00%		0.315	0.330	0.265	0.270	西证国际
02660	禅游科技		主板	2019/04/16	1.12-1.32	2640		50.00%		1.230		8.8-10.4	50.00%		指尖悦动		47.48		2.1			31.71%		30.89%		1.490	1.680	1.400	1.610	国泰君安
